datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape
A1,roll_01,rf,imputed_count,0,156,416.53874333463824,561.7400847883924,39.81884385504662
A1,roll_01,rf,imputed_count,1,11,128.8932110652817,149.7109347528785,30.972448196410536
A1,roll_01,rf,is_daylight,0,104,353.8718101465593,489.5214800800577,32.19320737878912
A1,roll_01,rf,is_daylight,1,63,469.76509566157927,624.2582125741254,50.862587367519374
A1,roll_01,rf,overall,ALL,167,397.59203162827356,544.2824588649537,39.23614713501671
A1,roll_01,rf,pool_on,0,167,397.59203162827356,544.2824588649537,39.23614713501671
A1,roll_01,rf,pool_switch,0,167,397.59203162827356,544.2824588649537,39.23614713501671
A1,roll_01,rf,pv_regime,high,2,965.1406411755622,1034.9556553384377,205.33120341631968
A1,roll_01,rf,pv_regime,low,41,499.75304742843025,639.7928193143176,53.99477982861913
A1,roll_01,rf,pv_regime,med,4,754.7750151825531,907.6614106543099,90.859692047167
A1,roll_01,rf,pv_regime,night,120,341.32177495228916,476.5523291447886,29.704578529609144
A1,roll_01,rf,temp_bin,0,5,669.7157477520839,842.6683685003064,15.861024907666794
A1,roll_01,rf,temp_bin,1,33,282.68405559175,385.1510505931218,36.36748000046517
A1,roll_01,rf,temp_bin,2,121,409.9983255929745,561.546801295232,40.09815937126836
A1,roll_01,rf,temp_bin,3,8,513.8649139854482,599.1056990832545,52.6409153838292
A1,roll_02,mlr,flag_demand_imputed,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,flag_pool_imputed,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,flag_pv_imputed,0,153,473.69598040882454,647.8887108309187,83.95495049270505
A1,roll_02,mlr,flag_pv_imputed,1,14,283.4976797403823,333.97036451210136,60.06092482951975
A1,roll_02,mlr,flag_temp_imputed,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,gaplendemandbin,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,gaplenpoolbin,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,gaplenpvbin,0,153,473.69598040882454,647.8887108309187,83.95495049270505
A1,roll_02,mlr,gaplenpvbin,1,1,430.6815581959375,430.6815581959375,112.71897884787955
A1,roll_02,mlr,gaplenpvbin,2,6,253.04370449654076,288.8639695870725,63.1136837206062
A1,roll_02,mlr,gaplenpvbin,3,7,288.5748187414528,353.62730564600156,49.92169520596569
A1,roll_02,mlr,gaplentempbin,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,imputed_any,0,153,473.69598040882454,647.8887108309187,83.95495049270505
A1,roll_02,mlr,imputed_any,1,14,283.4976797403823,333.97036451210136,60.06092482951975
A1,roll_02,mlr,imputed_count,0,153,473.69598040882454,647.8887108309187,83.95495049270505
A1,roll_02,mlr,imputed_count,1,14,283.4976797403823,333.97036451210136,60.06092482951975
A1,roll_02,mlr,is_daylight,0,104,382.46318989736,490.11374609702614,50.505206058931876
A1,roll_02,mlr,is_daylight,1,63,582.0362026919056,804.7750262544806,133.86379274394022
A1,roll_02,mlr,overall,ALL,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,pool_on,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,pool_switch,0,167,457.75121268811677,627.6310057173204,81.95185852094103
A1,roll_02,mlr,pv_regime,high,4,722.3706221545951,849.7195639638487,494.1716073649537
A1,roll_02,mlr,pv_regime,low,31,661.4289304547509,918.2175716811769,65.21895202956894
A1,roll_02,mlr,pv_regime,med,18,553.0555810471316,749.9343478977055,234.6863366082101
A1,roll_02,mlr,pv_regime,night,114,378.0322169065919,483.3781332998778,47.92221378660452
A1,roll_02,mlr,temp_bin,0,3,374.41677424957294,483.0402665652552,19.451568377728158
A1,roll_02,mlr,temp_bin,1,88,375.99216971823375,495.3213432020967,49.12120312390998
A1,roll_02,mlr,temp_bin,2,74,563.6508333214291,765.0694467719518,117.0097100757298
A1,roll_02,mlr,temp_bin,3,2,261.8647975882297,300.0434342268606,323.11062367794085
A1,roll_02,persistence,flag_demand_imputed,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,flag_pool_imputed,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,flag_pv_imputed,0,153,477.0632867452539,717.276395177727,73.72745086620608
A1,roll_02,persistence,flag_pv_imputed,1,14,141.66083827658332,261.0536133258675,18.006082493433876
A1,roll_02,persistence,flag_temp_imputed,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,gaplendemandbin,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,gaplenpoolbin,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,gaplenpvbin,0,153,477.0632867452539,717.276395177727,73.72745086620608
A1,roll_02,persistence,gaplenpvbin,1,1,8.321551064972141,8.321551064972141,2.1779356943057335
A1,roll_02,persistence,gaplenpvbin,2,6,81.44084078202316,117.152902025998,16.959314944593316
A1,roll_02,persistence,gaplenpvbin,3,7,212.3264485878651,352.87953903686173,21.164475649458367
A1,roll_02,persistence,gaplentempbin,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,imputed_any,0,153,477.0632867452539,717.276395177727,73.72745086620608
A1,roll_02,persistence,imputed_any,1,14,141.66083827658332,261.0536133258675,18.006082493433876
A1,roll_02,persistence,imputed_count,0,153,477.0632867452539,717.276395177727,73.72745086620608
A1,roll_02,persistence,imputed_count,1,14,141.66083827658332,261.0536133258675,18.006082493433876
A1,roll_02,persistence,is_daylight,0,104,342.2493530620492,533.0649839138016,32.3461969426976
A1,roll_02,persistence,is_daylight,1,63,625.079395070522,891.9204834453851,129.65683579995323
A1,roll_02,persistence,overall,ALL,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,pool_on,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,pool_switch,0,167,448.9457162149462,690.7010939146944,69.05619842777008
A1,roll_02,persistence,pv_regime,high,4,843.5037588234306,873.7891258005028,440.0433006712523
A1,roll_02,persistence,pv_regime,low,31,711.9626111037645,1008.329260275867,66.29987603745661
A1,roll_02,persistence,pv_regime,med,18,567.3528489785648,844.534121201102,228.40271758627907
A1,roll_02,persistence,pv_regime,night,114,344.88357321729313,531.9566642369306,31.628656675775595
A1,roll_02,persistence,temp_bin,0,3,382.3570183568704,545.265013648467,19.868913894800745
A1,roll_02,persistence,temp_bin,1,88,326.483094968501,531.0215087760715,31.620954497520863
A1,roll_02,persistence,temp_bin,2,74,600.2314355492437,852.0951153212393,108.49047144955001
A1,roll_02,persistence,temp_bin,3,2,339.6124824766389,342.7432627370007,330.9197563523324
A1,roll_02,rf,flag_demand_imputed,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,flag_pool_imputed,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,flag_pv_imputed,0,153,418.2467745907589,596.2545938011351,75.56449096364652
A1,roll_02,rf,flag_pv_imputed,1,14,96.78727914811786,152.9871661663649,16.332855854210976
A1,roll_02,rf,flag_temp_imputed,0,167,391.2980743740105,572.4313139687015,70.59896466704711
