dataset_id,split_id,model_name,segment,n,mae,rmse,source_file
A2,roll_04,rf,all,150,329.32373456985516,503.6009306452037,preds_A2_roll_04.csv
A2,roll_04,rf,night,81,227.23386451243843,331.66526169747635,preds_A2_roll_04.csv
A2,roll_04,rf,day,69,449.1683646372574,649.7706963524054,preds_A2_roll_04.csv
A3,roll_01,mlr,all,167,484.406308996344,614.8849163268115,preds_A3_roll_01.csv
A3,roll_01,mlr,night,104,455.8608581328521,555.2371142867759,preds_A3_roll_01.csv
A3,roll_01,mlr,day,63,531.5289580408385,702.3538604589904,preds_A3_roll_01.csv
A3,roll_01,persistence,all,167,464.1098865162338,662.8558903706465,preds_A3_roll_01.csv
A3,roll_01,persistence,night,104,388.88039874500294,571.1368947815705,preds_A3_roll_01.csv
A3,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_A3_roll_01.csv
A3,roll_01,rf,all,167,408.6974289952498,544.768714353209,preds_A3_roll_01.csv
A3,roll_01,rf,night,104,373.4255035794291,503.56706872636255,preds_A3_roll_01.csv
A3,roll_01,rf,day,63,466.924099522954,606.6926285086629,preds_A3_roll_01.csv
A3,roll_02,mlr,all,167,440.65534244165866,597.8399684846825,preds_A3_roll_02.csv
A3,roll_02,mlr,night,104,374.0541340442602,483.5830866910836,preds_A3_roll_02.csv
A3,roll_02,mlr,day,63,550.600194399269,749.2561208521149,preds_A3_roll_02.csv
A3,roll_02,persistence,all,167,448.9457162149462,690.7010939146944,preds_A3_roll_02.csv
A3,roll_02,persistence,night,104,342.2493530620492,533.0649839138016,preds_A3_roll_02.csv
A3,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_A3_roll_02.csv
A3,roll_02,rf,all,167,408.4228599488166,581.5397403590157,preds_A3_roll_02.csv
A3,roll_02,rf,night,104,291.58992586819,406.2166446986722,preds_A3_roll_02.csv
A3,roll_02,rf,day,63,601.2899257327081,789.9792074143886,preds_A3_roll_02.csv
A3,roll_03,mlr,all,167,456.6290905297339,590.6879365902295,preds_A3_roll_03.csv
A3,roll_03,mlr,night,104,420.14075790844703,541.7136401668103,preds_A3_roll_03.csv
A3,roll_03,mlr,day,63,516.863798349001,663.6737861938983,preds_A3_roll_03.csv
A3,roll_03,persistence,all,167,451.6067950740062,635.4412020496833,preds_A3_roll_03.csv
A3,roll_03,persistence,night,104,399.2904136970634,610.7277321046823,preds_A3_roll_03.csv
A3,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_A3_roll_03.csv
A3,roll_03,rf,all,167,413.67709977088623,591.7631250667937,preds_A3_roll_03.csv
A3,roll_03,rf,night,104,319.83108162667423,491.7709701534636,preds_A3_roll_03.csv
A3,roll_03,rf,day,63,568.5975106756172,727.3504548923405,preds_A3_roll_03.csv
A3,roll_04,mlr,all,167,407.0552557523215,541.5082768696994,preds_A3_roll_04.csv
A3,roll_04,mlr,night,98,382.2608170784112,480.4475362620125,preds_A3_roll_04.csv
A3,roll_04,mlr,day,69,442.2705454630927,617.947618489098,preds_A3_roll_04.csv
A3,roll_04,persistence,all,167,367.8780820544635,544.0314664782638,preds_A3_roll_04.csv
A3,roll_04,persistence,night,98,309.8077122337435,470.04071948194803,preds_A3_roll_04.csv
A3,roll_04,persistence,day,69,450.35483919113824,634.458324911539,preds_A3_roll_04.csv
A3,roll_04,rf,all,167,313.3112468603566,473.794211341563,preds_A3_roll_04.csv
A3,roll_04,rf,night,98,215.51803811590062,303.1731205506577,preds_A3_roll_04.csv
A3,roll_04,rf,day,69,452.20594913509115,642.4675395244075,preds_A3_roll_04.csv
A4,roll_01,mlr,all,127,521.8929088976153,666.3777822077642,preds_A4_roll_01.csv
A4,roll_01,mlr,night,64,527.3467883452713,648.511351908867,preds_A4_roll_01.csv
A4,roll_01,mlr,day,63,516.352459934917,684.0501579035852,preds_A4_roll_01.csv
A4,roll_01,persistence,all,127,539.4853657660749,725.1785567721017,preds_A4_roll_01.csv
A4,roll_01,persistence,night,64,491.4351855243867,653.5440689451399,preds_A4_roll_01.csv
A4,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_A4_roll_01.csv
A4,roll_01,rf,all,127,501.4776025591177,630.6523946918169,preds_A4_roll_01.csv
A4,roll_01,rf,night,64,524.4964918644928,663.6646811524,preds_A4_roll_01.csv
A4,roll_01,rf,day,63,478.0933340584191,595.2443605939804,preds_A4_roll_01.csv
A4,roll_02,mlr,all,138,492.64477942850635,641.072968963755,preds_A4_roll_02.csv
A4,roll_02,mlr,night,75,463.8828329893274,564.8543159630372,preds_A4_roll_02.csv
A4,roll_02,mlr,day,63,526.8851918561004,721.384892118209,preds_A4_roll_02.csv
A4,roll_02,persistence,all,138,508.13429437706225,739.8395940510944,preds_A4_roll_02.csv
A4,roll_02,persistence,night,75,409.9004097945559,582.1585908325401,preds_A4_roll_02.csv
A4,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_A4_roll_02.csv
A4,roll_02,rf,all,138,498.18028902060723,648.8520657546286,preds_A4_roll_02.csv
A4,roll_02,rf,night,75,405.5715135208687,481.53079054776464,preds_A4_roll_02.csv
A4,roll_02,rf,day,63,608.4288312822007,803.8483804154497,preds_A4_roll_02.csv
A4,roll_03,mlr,all,124,524.2667402850667,662.1962616512174,preds_A4_roll_03.csv
A4,roll_03,mlr,night,61,541.5778218055011,662.978675982464,preds_A4_roll_03.csv
A4,roll_03,mlr,day,63,507.50521690813815,661.4378039592566,preds_A4_roll_03.csv
A4,roll_03,persistence,all,124,518.2096232441302,689.6275557071873,preds_A4_roll_03.csv
A4,roll_03,persistence,night,61,497.80100867881475,705.1484230421763,preds_A4_roll_03.csv
A4,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_A4_roll_03.csv
A4,roll_03,rf,all,124,492.04355873268713,643.5344101071485,preds_A4_roll_03.csv
A4,roll_03,rf,night,61,429.4767117155479,565.0635369937357,preds_A4_roll_03.csv
A4,roll_03,rf,day,63,552.6241566381714,711.3125106936969,preds_A4_roll_03.csv
A4,roll_04,mlr,all,97,411.66504661492877,566.1869091453849,preds_A4_roll_04.csv
A4,roll_04,mlr,night,30,371.94401576661744,472.2096239905392,preds_A4_roll_04.csv
A4,roll_04,mlr,day,67,429.4505828156651,603.5417962850382,preds_A4_roll_04.csv
A4,roll_04,persistence,all,97,405.3907669372235,574.9845325894179,preds_A4_roll_04.csv
A4,roll_04,persistence,night,30,319.44710875224706,418.4725403366145,preds_A4_roll_04.csv
A4,roll_04,persistence,day,67,443.8730019454219,632.6362943599826,preds_A4_roll_04.csv
A4,roll_04,rf,all,97,390.1606140930599,567.649739261809,preds_A4_roll_04.csv
A4,roll_04,rf,night,30,236.81688661713372,294.1521662648484,preds_A4_roll_04.csv
A4,roll_04,rf,day,67,458.8219846046686,654.0365942269921,preds_A4_roll_04.csv
B1,roll_01,mlr,all,167,468.36774158922765,602.0172074278111,preds_B1_roll_01.csv
B1,roll_01,mlr,night,104,438.92336637553404,550.8516755052813,preds_B1_roll_01.csv
B1,roll_01,mlr,day,63,516.9743292435791,678.0857837548565,preds_B1_roll_01.csv
B1,roll_01,persistence,all,167,464.1098865162338,662.8558903706465,preds_B1_roll_01.csv
B1,roll_01,persistence,night,104,388.88039874500294,571.1368947815705,preds_B1_roll_01.csv
B1,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_B1_roll_01.csv
B1,roll_01,rf,all,167,397.59203162827356,544.2824588649537,preds_B1_roll_01.csv
B1,roll_01,rf,night,104,353.8718101465593,489.5214800800577,preds_B1_roll_01.csv
B1,roll_01,rf,day,63,469.76509566157927,624.2582125741254,preds_B1_roll_01.csv
B1,roll_02,mlr,all,167,457.75121268811677,627.6310057173204,preds_B1_roll_02.csv
B1,roll_02,mlr,night,104,382.46318989736,490.11374609702614,preds_B1_roll_02.csv
B1,roll_02,mlr,day,63,582.0362026919056,804.7750262544806,preds_B1_roll_02.csv
B1,roll_02,persistence,all,167,448.9457162149462,690.7010939146944,preds_B1_roll_02.csv
B1,roll_02,persistence,night,104,342.2493530620492,533.0649839138016,preds_B1_roll_02.csv
B1,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_B1_roll_02.csv
B1,roll_02,rf,all,167,391.2980743740105,572.4313139687015,preds_B1_roll_02.csv
B1,roll_02,rf,night,104,272.3981002768008,397.73847632660494,preds_B1_roll_02.csv
B1,roll_02,rf,day,63,587.577396693214,779.3952437946209,preds_B1_roll_02.csv
B1,roll_03,mlr,all,167,484.4269587463432,616.2173589142807,preds_B1_roll_03.csv
B1,roll_03,mlr,night,104,437.129610600617,559.8280887178012,preds_B1_roll_03.csv
B1,roll_03,mlr,day,63,562.5051207646846,699.4272184352142,preds_B1_roll_03.csv
B1,roll_03,persistence,all,167,451.6067950740062,635.4412020496833,preds_B1_roll_03.csv
B1,roll_03,persistence,night,104,399.2904136970634,610.7277321046823,preds_B1_roll_03.csv
B1,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_B1_roll_03.csv
B1,roll_03,rf,all,167,396.92659426775606,566.0935047184483,preds_B1_roll_03.csv
B1,roll_03,rf,night,104,304.21553780359505,474.1611966887786,preds_B1_roll_03.csv
B1,roll_03,rf,day,63,549.9734176371646,691.6156671936092,preds_B1_roll_03.csv
B1,roll_04,mlr,all,167,386.00170021533313,520.439956029221,preds_B1_roll_04.csv
B1,roll_04,mlr,night,98,344.667792649065,425.26907174097244,preds_B1_roll_04.csv
B1,roll_04,mlr,day,69,444.70782980220673,631.418613488356,preds_B1_roll_04.csv
B1,roll_04,persistence,all,167,367.8780820544635,544.0314664782638,preds_B1_roll_04.csv
B1,roll_04,persistence,night,98,309.8077122337435,470.04071948194803,preds_B1_roll_04.csv
B1,roll_04,persistence,day,69,450.35483919113824,634.458324911539,preds_B1_roll_04.csv
B1,roll_04,rf,all,167,298.80576445564793,461.650780012064,preds_B1_roll_04.csv
B1,roll_04,rf,night,98,199.01472565511938,296.5531423968063,preds_B1_roll_04.csv
B1,roll_04,rf,day,69,440.53796449118124,625.2279796898732,preds_B1_roll_04.csv
B2,roll_01,mlr,all,167,468.3677415892283,602.0172074278133,preds_B2_roll_01.csv
B2,roll_01,mlr,night,104,438.9233663755325,550.8516755052801,preds_B2_roll_01.csv
