datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
A2,roll_04,mlr,native,150,403.87235084206594,536.6981271517124,53.42463494459515,444.7078298022145,369.08657246860594,68.51369705630208,40.57098944203,69,81,631.4186134883647,440.21822361346665
A2,roll_04,persistence,native,150,394.9023090226489,563.3308141837591,48.14399352123065,450.35483919113824,347.6649685087506,64.31388555585052,34.369641047295204,69,81,634.458324911539,494.7397704033707
A2,roll_04,rf,native,150,329.3237345698552,503.6009306452037,43.62453899387484,449.1683646372574,227.23386451243843,66.1288789907016,24.45417529287429,69,81,649.7706963524054,331.66526169747635
A3,roll_01,mlr,native,167,484.406308996344,614.8849163268115,58.609706479401865,531.5289580408385,455.8608581328521,57.83933357978599,59.07637467820762,63,104,702.3538604589904,555.2371142867759
A3,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
A3,roll_01,rf,native,167,408.6974289952498,544.768714353209,41.52413628048098,466.924099522954,373.4255035794291,49.79285752352113,36.51519937363935,63,104,606.6926285086629,503.56706872636255
A3,roll_02,mlr,native,167,440.65534244165866,597.8399684846825,85.60102544821872,550.600194399269,374.0541340442602,139.17658295348764,53.14660119021928,63,104,749.2561208521149,483.5830866910836
A3,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
A3,roll_02,rf,native,167,408.4228599488166,581.5397403590157,74.13922457532098,601.2899257327081,291.58992586819,141.42205596165817,33.38135556244363,63,104,789.9792074143886,406.2166446986722
A3,roll_03,mlr,native,167,456.6290905297339,590.6879365902295,78.42543909653482,516.863798349001,420.14075790844703,136.1765272507075,43.44160684929557,63,104,663.6737861938983,541.7136401668103
A3,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
A3,roll_03,rf,native,167,413.67709977088623,591.7631250667937,68.74129791074213,568.5975106756172,319.83108162667423,132.08552989776106,30.369311226297985,63,104,727.3504548923405,491.7709701534636
A3,roll_04,mlr,native,167,407.0552557523215,541.5082768696994,54.5861459972227,442.2705454630927,382.2608170784112,71.90708407112638,42.39079163906606,69,98,617.947618489098,480.4475362620125
A3,roll_04,persistence,native,167,367.8780820544635,544.0314664782638,44.47998187807959,450.35483919113824,309.8077122337435,64.31388555585052,30.51529459475107,69,98,634.458324911539,470.040719481948
A3,roll_04,rf,native,167,313.3112468603566,473.794211341563,44.78758486416474,452.2059491350912,215.51803811590065,72.88940473145921,25.001609651477843,69,98,642.4675395244075,303.1731205506577
A4,roll_01,mlr,native,127,521.8929088976153,666.3777822077642,57.260209980711984,516.352459934917,527.3467883452713,59.05982572481179,55.488713232613705,63,64,684.0501579035852,648.511351908867
A4,roll_01,persistence,native,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
A4,roll_01,rf,native,127,501.4776025591177,630.6523946918169,48.49873096950731,478.0933340584191,524.4964918644928,50.3437206956669,46.682569207818936,63,64,595.2443605939804,663.6646811524
A4,roll_02,mlr,native,138,492.6447794285064,641.072968963755,94.73888472040106,526.8851918561004,463.8828329893274,135.65678952606586,60.36784468364264,63,75,721.384892118209,564.8543159630372
A4,roll_02,persistence,native,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
A4,roll_02,rf,native,138,498.1802890206072,648.8520657546286,90.4079498560941,608.4288312822007,405.5715135208687,150.89352830909172,39.60006395557612,63,75,803.8483804154497,481.53079054776464
A4,roll_03,mlr,native,124,524.2667402850667,662.1962616512174,94.94229045148846,507.50521690813815,541.5778218055011,136.67926958921163,51.836885768266136,63,61,661.4378039592566,662.978675982464
A4,roll_03,persistence,native,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
A4,roll_03,rf,native,124,492.04355873268713,643.5344101071485,89.10633754528236,552.6241566381714,429.4767117155479,139.85004210102232,36.698904971321376,63,61,711.3125106936969,565.0635369937357
A4,roll_04,mlr,native,97,411.6650466149288,566.1869091453849,57.75683628949256,429.4505828156651,371.94401576661744,69.71388943232294,31.052750937171357,67,30,603.5417962850382,472.2096239905392
A4,roll_04,persistence,native,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
A4,roll_04,rf,native,97,390.1606140930599,567.649739261809,60.379135255748,458.8219846046686,236.8168866171337,78.46694246838187,19.983032480865678,67,30,654.0365942269921,294.1521662648484
B1,roll_01,mlr,native,167,468.3677415892277,602.0172074278111,50.67097766965289,516.9743292435791,438.9233663755341,53.98465773692944,48.663652244283455,63,104,678.0857837548565,550.8516755052813
B1,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
B1,roll_01,rf,native,167,397.5920316282736,544.2824588649537,39.23614713501671,469.76509566157927,353.8718101465593,50.862587367519374,32.19320737878912,63,104,624.2582125741254,489.5214800800577
B1,roll_02,mlr,native,167,457.7512126881168,627.6310057173204,81.95185852094103,582.0362026919056,382.46318989736,133.86379274394022,50.50520605893188,63,104,804.7750262544806,490.1137460970261
B1,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
B1,roll_02,rf,native,167,391.2980743740105,572.4313139687015,70.59896466704711,587.577396693214,272.3981002768008,138.67782811025938,29.358883927408964,63,104,779.3952437946209,397.73847632660494
B1,roll_03,mlr,native,167,484.4269587463432,616.2173589142807,81.27241204324217,562.5051207646846,437.129610600617,134.13215264353576,49.25160764114123,63,104,699.4272184352142,559.8280887178012
B1,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
B1,roll_03,rf,native,167,396.92659426775606,566.0935047184483,75.04912793623106,549.9734176371646,304.21553780359505,150.61882750977244,29.271329156105047,63,104,691.6156671936092,474.1611966887786
B1,roll_04,mlr,native,167,386.00170021533313,520.439956029221,51.72117957486887,444.70782980220673,344.667792649065,68.51369705630071,39.89787645018726,69,98,631.418613488356,425.2690717409725
B1,roll_04,persistence,native,167,367.8780820544635,544.0314664782638,44.47998187807959,450.35483919113824,309.8077122337435,64.31388555585052,30.51529459475107,69,98,634.458324911539,470.040719481948
B1,roll_04,rf,native,167,298.80576445564793,461.650780012064,40.29710139059003,440.5379644911813,199.01472565511935,64.987646908024,22.912941791580398,69,98,625.2279796898732,296.5531423968063
B2,roll_01,mlr,native,167,468.3677415892283,602.0172074278133,50.670977669652906,516.9743292435832,438.9233663755325,53.9846577369298,48.66365224428325,63,104,678.0857837548635,550.8516755052801
B2,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
B2,roll_01,rf,native,167,408.9487260367957,551.6167240285712,41.2207809348949,485.1548644449308,362.7853921934062,52.11000985880221,34.624421105989505,63,104,629.5103362811603,498.546764149163
B2,roll_02,mlr,native,167,457.7512126881177,627.6310057173205,81.95185852094107,582.0362026919051,382.463189897362,133.86379274394017,50.505206058932096,63,104,804.7750262544789,490.1137460970277
B2,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
B2,roll_02,rf,native,167,399.37956899550113,579.0594859009941,71.06259870785271,593.0445967069707,282.06325413182253,134.3095267092146,32.749555783950804,63,104,795.5062097639159,393.8036063105873
B2,roll_03,mlr,native,167,484.42695874634313,616.2173589142806,81.27241204324217,562.505120764685,437.12961060061696,134.13215264353593,49.25160764114117,63,104,699.4272184352144,559.828088717801
B2,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
B2,roll_03,rf,native,167,399.3874352852956,570.4780182610796,64.96359087607877,547.6638644049647,309.56613687626526,121.13232511731682,30.93829994148268,63,104,697.5747682268301,477.3008864808757
B2,roll_04,mlr,native,150,403.87235084206594,536.6981271517124,53.42463494459515,444.7078298022145,369.08657246860594,68.51369705630208,40.57098944203,69,81,631.4186134883647,440.21822361346665
B2,roll_04,persistence,native,150,394.9023090226489,563.3308141837591,48.14399352123065,450.35483919113824,347.6649685087506,64.31388555585052,34.369641047295204,69,81,634.458324911539,494.7397704033707
B2,roll_04,rf,native,150,329.3237345698552,503.6009306452037,43.62453899387484,449.1683646372574,227.23386451243843,66.1288789907016,24.45417529287429,69,81,649.7706963524054,331.66526169747635
B3,roll_01,mlr,native,167,484.406308996344,614.8849163268115,58.609706479401865,531.5289580408385,455.8608581328521,57.83933357978599,59.07637467820762,63,104,702.3538604589904,555.2371142867759
B3,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
