dataset_id,split_id,model_name,K,n_test,n_anom_resid,rate_anom_resid,n_anom_raw,rate_anom_raw
A3,roll_01,rf,3,167,4,0.023952095808383235,8,0.04790419161676647
A3,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
A3,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
A3,roll_01,rf,6,167,0,0.0,0,0.0
A3,roll_01,rf,7,167,0,0.0,0,0.0
A3,roll_01,rf,8,167,0,0.0,0,0.0
A3,roll_01,rf,9,167,0,0.0,0,0.0
A3,roll_01,rf,10,167,0,0.0,0,0.0
A3,roll_01,rf,11,167,0,0.0,0,0.0
A3,roll_01,rf,12,167,0,0.0,0,0.0
A3,roll_01,rf,13,167,0,0.0,0,0.0
A3,roll_01,rf,14,167,0,0.0,0,0.0
A3,roll_01,rf,15,167,0,0.0,0,0.0
A4,roll_01,mlr,3,127,1,0.007874015748031496,3,0.023622047244094488
A4,roll_01,mlr,4,127,0,0.0,0,0.0
A4,roll_01,mlr,5,127,0,0.0,0,0.0
A4,roll_01,mlr,6,127,0,0.0,0,0.0
A4,roll_01,mlr,7,127,0,0.0,0,0.0
A4,roll_01,mlr,8,127,0,0.0,0,0.0
A4,roll_01,mlr,9,127,0,0.0,0,0.0
A4,roll_01,mlr,10,127,0,0.0,0,0.0
A4,roll_01,mlr,11,127,0,0.0,0,0.0
A4,roll_01,mlr,12,127,0,0.0,0,0.0
A4,roll_01,mlr,13,127,0,0.0,0,0.0
A4,roll_01,mlr,14,127,0,0.0,0,0.0
A4,roll_01,mlr,15,127,0,0.0,0,0.0
A4,roll_01,persistence,3,127,28,0.2204724409448819,3,0.023622047244094488
A4,roll_01,persistence,4,127,11,0.08661417322834646,1,0.007874015748031496
A4,roll_01,persistence,5,127,4,0.031496062992125984,0,0.0
A4,roll_01,persistence,6,127,1,0.007874015748031496,0,0.0
A4,roll_01,persistence,7,127,0,0.0,0,0.0
A4,roll_01,persistence,8,127,0,0.0,0,0.0
A4,roll_01,persistence,9,127,0,0.0,0,0.0
A4,roll_01,persistence,10,127,0,0.0,0,0.0
A4,roll_01,persistence,11,127,0,0.0,0,0.0
A4,roll_01,persistence,12,127,0,0.0,0,0.0
A4,roll_01,persistence,13,127,0,0.0,0,0.0
A4,roll_01,persistence,14,127,0,0.0,0,0.0
A4,roll_01,persistence,15,127,0,0.0,0,0.0
A4,roll_01,rf,3,127,0,0.0,3,0.023622047244094488
A4,roll_01,rf,4,127,0,0.0,0,0.0
A4,roll_01,rf,5,127,0,0.0,0,0.0
A4,roll_01,rf,6,127,0,0.0,0,0.0
A4,roll_01,rf,7,127,0,0.0,0,0.0
A4,roll_01,rf,8,127,0,0.0,0,0.0
A4,roll_01,rf,9,127,0,0.0,0,0.0
A4,roll_01,rf,10,127,0,0.0,0,0.0
A4,roll_01,rf,11,127,0,0.0,0,0.0
A4,roll_01,rf,12,127,0,0.0,0,0.0
A4,roll_01,rf,13,127,0,0.0,0,0.0
A4,roll_01,rf,14,127,0,0.0,0,0.0
A4,roll_01,rf,15,127,0,0.0,0,0.0
B1,roll_01,mlr,3,167,10,0.059880239520958084,8,0.04790419161676647
B1,roll_01,mlr,4,167,4,0.023952095808383235,4,0.023952095808383235
B1,roll_01,mlr,5,167,1,0.005988023952095809,3,0.017964071856287425
B1,roll_01,mlr,6,167,0,0.0,0,0.0
B1,roll_01,mlr,7,167,0,0.0,0,0.0
B1,roll_01,mlr,8,167,0,0.0,0,0.0
B1,roll_01,mlr,9,167,0,0.0,0,0.0
B1,roll_01,mlr,10,167,0,0.0,0,0.0
B1,roll_01,mlr,11,167,0,0.0,0,0.0
B1,roll_01,mlr,12,167,0,0.0,0,0.0
B1,roll_01,mlr,13,167,0,0.0,0,0.0
B1,roll_01,mlr,14,167,0,0.0,0,0.0
B1,roll_01,mlr,15,167,0,0.0,0,0.0
B1,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
B1,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
B1,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
B1,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
B1,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
B1,roll_01,persistence,8,167,0,0.0,0,0.0
B1,roll_01,persistence,9,167,0,0.0,0,0.0
B1,roll_01,persistence,10,167,0,0.0,0,0.0
B1,roll_01,persistence,11,167,0,0.0,0,0.0
B1,roll_01,persistence,12,167,0,0.0,0,0.0
B1,roll_01,persistence,13,167,0,0.0,0,0.0
B1,roll_01,persistence,14,167,0,0.0,0,0.0
B1,roll_01,persistence,15,167,0,0.0,0,0.0
B1,roll_01,rf,3,167,4,0.023952095808383235,8,0.04790419161676647
B1,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
B1,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
B1,roll_01,rf,6,167,0,0.0,0,0.0
B1,roll_01,rf,7,167,0,0.0,0,0.0
B1,roll_01,rf,8,167,0,0.0,0,0.0
B1,roll_01,rf,9,167,0,0.0,0,0.0
B1,roll_01,rf,10,167,0,0.0,0,0.0
B1,roll_01,rf,11,167,0,0.0,0,0.0
B1,roll_01,rf,12,167,0,0.0,0,0.0
B1,roll_01,rf,13,167,0,0.0,0,0.0
B1,roll_01,rf,14,167,0,0.0,0,0.0
B1,roll_01,rf,15,167,0,0.0,0,0.0
B2,roll_01,mlr,3,167,10,0.059880239520958084,8,0.04790419161676647
B2,roll_01,mlr,4,167,4,0.023952095808383235,4,0.023952095808383235
B2,roll_01,mlr,5,167,1,0.005988023952095809,3,0.017964071856287425
B2,roll_01,mlr,6,167,0,0.0,0,0.0
B2,roll_01,mlr,7,167,0,0.0,0,0.0
B2,roll_01,mlr,8,167,0,0.0,0,0.0
B2,roll_01,mlr,9,167,0,0.0,0,0.0
B2,roll_01,mlr,10,167,0,0.0,0,0.0
B2,roll_01,mlr,11,167,0,0.0,0,0.0
B2,roll_01,mlr,12,167,0,0.0,0,0.0
B2,roll_01,mlr,13,167,0,0.0,0,0.0
B2,roll_01,mlr,14,167,0,0.0,0,0.0
B2,roll_01,mlr,15,167,0,0.0,0,0.0
B2,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
B2,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
B2,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
B2,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
B2,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
B2,roll_01,persistence,8,167,0,0.0,0,0.0
B2,roll_01,persistence,9,167,0,0.0,0,0.0
B2,roll_01,persistence,10,167,0,0.0,0,0.0
B2,roll_01,persistence,11,167,0,0.0,0,0.0
