datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_01,rf,flag_pv_imputed,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,flag_temp_imputed,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,gaplendemandbin,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,gaplenpoolbin,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,gaplenpvbin,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,gaplentempbin,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,imputed_any,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,imputed_count,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,is_daylight,0,64,464.73175869426655,589.0719737917186,39.10526646658248,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,is_daylight,1,63,469.76509566157927,624.2582125741254,50.862587367519374,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,overall,ALL,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pool_on,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pool_switch,0,127,467.2286108906501,606.7816512773553,44.937638252086614,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pv_regime,high,2,965.1406411755622,1034.9556553384377,205.33120341631968,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pv_regime,low,41,499.75304742843025,639.7928193143176,53.99477982861913,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pv_regime,med,4,754.7750151825531,907.6614106543099,90.859692047167,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,pv_regime,night,80,423.73471619331974,553.8385618280655,33.98991137525385,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,temp_bin,0,3,1047.7732167186293,1083.4003934460006,23.68547579846431,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,temp_bin,1,19,361.9383750837317,474.00665849990577,45.522301427015336,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,temp_bin,2,97,466.05119066476476,610.0338862044831,44.84507814882146,A1..B4_by_ts_target_utc,127
A1,roll_01,rf,temp_bin,3,8,513.8649139854482,599.1056990832545,52.6409153838292,A1..B4_by_ts_target_utc,127
