datasetid,splitid,modelname,k,n_test,n_clean,n_imputed,residual_alerts_total,residual_alerts_clean,residual_alerts_imputed,residual_alert_rate_total,residual_alert_rate_clean,residual_alert_rate_imputed,residual_ratio_alerts_imputed_to_clean,raw_alerts_total,raw_alerts_clean,raw_alerts_imputed,raw_alert_rate_total,raw_alert_rate_clean,raw_alert_rate_imputed,raw_ratio_alerts_imputed_to_clean,residual_over_raw_rate_clean
A1,roll_02,mlr,6,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,7,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,8,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,9,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,10,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,11,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,12,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,13,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,14,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,mlr,15,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,3,167,153,14,34,34,0,0.20359281437125748,0.2222222222222222,0.0,0.0,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,34.0
A1,roll_02,persistence,4,167,153,14,20,20,0,0.11976047904191617,0.13071895424836602,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,5,167,153,14,11,11,0,0.0658682634730539,0.0718954248366013,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,6,167,153,14,6,6,0,0.03592814371257485,0.0392156862745098,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,7,167,153,14,4,4,0,0.023952095808383235,0.026143790849673203,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,8,167,153,14,2,2,0,0.011976047904191617,0.013071895424836602,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,9,167,153,14,2,2,0,0.011976047904191617,0.013071895424836602,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,10,167,153,14,2,2,0,0.011976047904191617,0.013071895424836602,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,11,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,12,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,13,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,14,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,persistence,15,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,3,167,153,14,8,8,0,0.04790419161676647,0.05228758169934641,0.0,0.0,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,8.0
A1,roll_02,rf,4,167,153,14,2,2,0,0.011976047904191617,0.013071895424836602,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,5,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,6,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,7,167,153,14,1,1,0,0.005988023952095809,0.006535947712418301,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,8,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,9,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,10,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
