split_id,ts_target_utc,y_true_t_plus_1,z_raw,flag_demand_imputed,K,label_hour,event_id
roll_01,2026-01-12 00:00:00+00:00,2521.281662351861,2.511224802019185,0,3,0,
roll_01,2026-01-12 01:00:00+00:00,2510.7629793080832,2.4941633275995714,0,3,0,
roll_01,2026-01-12 02:00:00+00:00,2517.397726423444,2.504924994979244,0,3,0,
roll_01,2026-01-12 03:00:00+00:00,2481.68678522575,2.4470012694321386,0,3,0,
roll_01,2026-01-12 04:00:00+00:00,3016.15648477425,3.313919786603292,0,3,1,1.0
roll_01,2026-01-12 05:00:00+00:00,4262.747835938639,5.335911167186222,0,3,1,1.0
roll_01,2026-01-12 06:00:00+00:00,4361.908397110695,5.496751204939078,0,3,1,1.0
roll_01,2026-01-12 07:00:00+00:00,4563.315619382333,5.823436984557246,0,3,1,1.0
roll_01,2026-01-12 08:00:00+00:00,3089.202245556361,3.4324011947661126,0,3,1,1.0
roll_01,2026-01-12 09:00:00+00:00,2796.8041315197224,2.9581267136151337,0,3,0,
roll_01,2026-01-12 10:00:00+00:00,746.3919299871112,0.3676751173284914,0,3,0,
roll_01,2026-01-12 11:00:00+00:00,632.5966184736388,0.5522529573849545,0,3,0,
roll_01,2026-01-12 12:00:00+00:00,-422.1210146441389,2.2630220567541874,0,3,0,
roll_01,2026-01-12 13:00:00+00:00,754.2202679822223,0.3549774261920822,0,3,0,
roll_01,2026-01-12 14:00:00+00:00,1500.3252466112224,0.855216944552359,0,3,0,
roll_01,2026-01-12 15:00:00+00:00,586.6202596731389,0.6268273567006287,0,3,0,
roll_01,2026-01-12 16:00:00+00:00,1670.774375533639,1.1316881948839732,0,3,0,
roll_01,2026-01-12 17:00:00+00:00,893.0618960396945,0.1297740546653298,0,3,0,
roll_01,2026-01-12 18:00:00+00:00,2274.0885418814723,2.1102735532690144,0,3,0,
roll_01,2026-01-12 19:00:00+00:00,1365.6644136303612,0.636794890416422,0,3,0,
roll_01,2026-01-12 20:00:00+00:00,653.7379858252777,0.5179613168093782,0,3,0,
roll_01,2026-01-12 21:00:00+00:00,1060.23997367125,0.1413914974441784,0,3,0,
roll_01,2026-01-12 22:00:00+00:00,372.6696216118889,0.97385876007591,0,3,0,
roll_01,2026-01-12 23:00:00+00:00,368.2867205090556,0.98096789671768,0,3,0,
roll_01,2026-01-13 00:00:00+00:00,366.1301339879167,0.9844659150162596,0,3,0,
roll_01,2026-01-13 01:00:00+00:00,374.135321881,0.9714813704783546,0,3,0,
roll_01,2026-01-13 02:00:00+00:00,383.9471823114166,0.9555663737961988,0,3,0,
roll_01,2026-01-13 03:00:00+00:00,367.6768063598889,0.9819571873551922,0,3,0,
roll_01,2026-01-13 04:00:00+00:00,977.1223704921111,0.0065733976346854,0,3,0,
roll_01,2026-01-13 05:00:00+00:00,2001.738657636584,1.6685176258501793,0,3,0,
roll_01,2026-01-13 06:00:00+00:00,2099.6764230465,1.8273742690536097,0,3,0,
roll_01,2026-01-13 07:00:00+00:00,1798.5318447581387,1.3389128810938828,0,3,0,
roll_01,2026-01-13 08:00:00+00:00,1792.85737564,1.3297088001931583,0,3,0,
roll_01,2026-01-13 09:00:00+00:00,1704.9205994411388,1.1870739236201218,0,3,0,
roll_01,2026-01-13 10:00:00+00:00,1712.5081979704166,1.199381131440225,0,3,0,
roll_01,2026-01-13 11:00:00+00:00,1729.1863273721667,1.2264333277057342,0,3,0,
roll_01,2026-01-13 12:00:00+00:00,1776.8351252307775,1.3037204502862474,0,3,0,
roll_01,2026-01-13 13:00:00+00:00,1850.1251705731663,1.4225980919660348,0,3,0,
roll_01,2026-01-13 14:00:00+00:00,2103.8606620909723,1.8341611726161275,0,3,0,
roll_01,2026-01-13 15:00:00+00:00,1367.69234237475,0.6400842237153901,0,3,0,
roll_01,2026-01-13 16:00:00+00:00,2518.591872478111,2.506861919238696,0,3,0,
roll_01,2026-01-13 17:00:00+00:00,2818.4871972926667,2.9932969978117585,0,3,0,
roll_01,2026-01-13 18:00:00+00:00,1383.2154217488053,0.6652629101109973,0,3,0,
roll_01,2026-01-13 19:00:00+00:00,962.6741752021112,0.0168618093512053,0,3,0,
roll_01,2026-01-13 20:00:00+00:00,2371.2932299861945,2.267941133199209,0,3,0,
roll_01,2026-01-13 21:00:00+00:00,813.2224330626667,0.2592749579237479,0,3,0,
roll_01,2026-01-13 22:00:00+00:00,1323.4556494799722,0.5683315907012214,0,3,0,
roll_01,2026-01-13 23:00:00+00:00,690.983777113111,0.4575480395339942,0,3,0,
roll_01,2026-01-14 00:00:00+00:00,373.91198171711113,0.9718436318448396,0,3,0,
roll_01,2026-01-14 01:00:00+00:00,370.08383153427775,0.9780529535010792,0,3,0,
roll_01,2026-01-14 02:00:00+00:00,363.9680898908056,0.9879727855915412,0,3,0,
roll_01,2026-01-14 03:00:00+00:00,367.8678755790834,0.9816472699841589,0,3,0,
roll_01,2026-01-14 04:00:00+00:00,1021.3973762487502,0.0783881747318982,0,3,0,
roll_01,2026-01-14 05:00:00+00:00,2059.780215135472,1.7626619730484332,0,3,0,
roll_01,2026-01-14 06:00:00+00:00,1951.7951114496389,1.5875083842800188,0,3,0,
roll_01,2026-01-14 07:00:00+00:00,1687.1433126186946,1.1582388761993632,0,3,0,
roll_01,2026-01-14 08:00:00+00:00,1700.1424731680556,1.179323725345052,0,3,0,
roll_01,2026-01-14 09:00:00+00:00,1616.381493539,1.0434620585037595,0,3,0,
roll_01,2026-01-14 10:00:00+00:00,1771.2370990303614,1.2946403610373156,0,3,0,
roll_01,2026-01-14 11:00:00+00:00,1698.523145841389,1.1766971501696313,0,3,0,
roll_01,2026-01-14 12:00:00+00:00,986.6906551339166,0.0220933104390086,0,3,0,
