ts_utc,demand_w_obs,demand_count_samples,demand_coverage_minutes,pv_w_obs,pv_count_samples,pv_coverage_minutes,pv_count_samples_clipped_noise,flag_pv_clipped_noise_hour,pv_count_samples_forced_night_zero,flag_pv_forced_night_zero_hour,pool_w_obs,pool_count_samples,pool_coverage_minutes,temp_sensor_c,temp_sensor_count_samples,temp_sensor_coverage_minutes,sun_altitude_hour_mid_deg,is_daylight_hour,temp_meteo_c,outdoor_temp_c_effective,outdoor_temp_c,flag_demand_missing_raw,flag_pv_missing_raw,flag_pool_missing_raw,flag_temp_sensor_missing_raw,flag_temp_meteo_missing_raw,flag_temp_sensor_missing,flag_temp_used_meteo,hour,day_of_week,month,is_weekend,is_holiday_it,hour_sin,hour_cos
2025-12-07 23:00:00+00:00,507.7373618155278,1,0.0,0.0,1,0.0,0,0,1,1,19.18124122477778,1,0.0,5.113237369055556,1,0.0,-67.00297602681631,0,,5.113237369055556,5.113237369055556,0,0,0,0,1,0,0,23,6,12,1,0,-0.25881904510252157,0.9659258262890681
2025-12-08 00:00:00+00:00,519.7730338943334,1,0.0,0.0,1,0.0,0,0,1,1,19.46589619311111,1,0.0,4.747346141083333,1,0.0,-62.54070158758406,0,,4.747346141083333,4.747346141083333,0,0,0,0,1,0,0,0,0,12,0,1,0.0,1.0
2025-12-08 01:00:00+00:00,405.7923137641389,1,0.0,,0,0.0,0,0,0,0,19.523734779861112,1,0.0,4.437490121805555,1,0.0,-54.33942060674798,0,,4.437490121805555,4.437490121805555,0,1,0,0,1,0,0,1,0,12,0,1,0.25881904510252074,0.9659258262890683
2025-12-08 02:00:00+00:00,372.36200877152777,1,0.0,,0,0.0,0,0,0,0,19.460435619138888,1,0.0,4.158408715472223,1,0.0,-44.512671775750135,0,,4.158408715472223,4.158408715472223,0,1,0,0,1,0,0,2,0,12,0,1,0.49999999999999994,0.8660254037844387
2025-12-08 03:00:00+00:00,368.5349669416945,1,0.0,,0,0.0,0,0,0,0,19.618550223777778,1,0.0,4.229704332333333,1,0.0,-34.10270184134532,0,,4.229704332333333,4.229704332333333,0,1,0,0,1,0,0,3,0,12,0,1,0.7071067811865476,0.7071067811865476
2025-12-08 04:00:00+00:00,1005.0115228406112,1,0.0,,0,0.0,0,0,0,0,19.71751694938889,1,0.0,3.863478075416667,1,0.0,-23.633422725919516,0,,3.863478075416667,3.863478075416667,0,1,0,0,1,0,0,4,0,12,0,1,0.8660254037844386,0.5000000000000001
2025-12-08 05:00:00+00:00,2463.0570198719447,1,0.0,0.0,1,0.0,0,0,1,1,20.190843497111118,1,0.0,3.6995231845277776,1,0.0,-13.448438692539627,0,,3.6995231845277776,3.6995231845277776,0,0,0,0,1,0,0,5,0,12,0,1,0.9659258262890683,0.25881904510252074
2025-12-08 06:00:00+00:00,2881.376123968112,1,0.0,0.0,1,0.0,0,0,1,1,19.92514088775,1,0.0,3.539248234,1,0.0,-3.85346063260176,0,,3.539248234,3.539248234,0,0,0,0,1,0,0,6,0,12,0,1,1.0,6.123233995736766e-17
2025-12-08 07:00:00+00:00,3606.760071677639,1,0.0,95.07314795872225,1,0.0,0,0,0,0,20.204008038027776,1,0.0,3.933178697166667,1,0.0,4.980661023183997,1,,3.933178697166667,3.933178697166667,0,0,0,0,1,0,0,7,0,12,0,1,0.9659258262890683,-0.25881904510252063
2025-12-08 08:00:00+00:00,1490.2497809967224,1,0.0,430.6403962305,1,0.0,0,0,0,0,19.59870693838889,1,0.0,4.993110326916667,1,0.0,12.231606242949244,1,,4.993110326916667,4.993110326916667,0,0,0,0,1,0,0,8,0,12,0,1,0.8660254037844387,-0.4999999999999998
