dataset_id,split_id,model_name,ts_utc,ts_target_utc,is_train_split,is_test_split,train_start_utc,train_end_utc,test_start_utc,test_end_utc,y_true_t_plus_1,yhat_t_plus_1,residual_t_plus_1,is_daylight,pv_regime,pool_on,pool_on_lag_1h,pool_switch,temp_bin,flag_grid_exporting,imputed_any,imputed_count,gaplen_demand_h,gaplen_pv_h,gaplen_pool_h,gaplen_temp_h,pv_imputed_interp,pv_imputed_ffill_night_ok,pv_imputed_fallback_zero,pv_imputed_any,flag_demand_imputed,flag_pv_imputed,flag_pool_imputed,flag_temp_imputed,flag_demand_imputed_new,flag_pv_imputed_new,flag_pool_imputed_new,flag_temp_imputed_new,demand_imputed_any,pool_imputed_any,temp_imputed_any,day_of_week,demand_lag_168h,demand_lag_1h,demand_lag_24h,demand_w,hour,hour_cos,hour_sin,is_holiday_it,is_weekend,month,outdoor_temp_c,outdoor_temp_c_lag_168h,outdoor_temp_c_lag_1h,outdoor_temp_c_lag_24h,pool_w,pool_w_lag_168h,pool_w_lag_1h,pool_w_lag_24h,pv_w,pv_w_lag_168h,pv_w_lag_1h,pv_w_lag_24h,median_r_cal,mad_r_cal,median_y_cal,mad_y_cal,n_resid_cal,n_y_cal,anomaly_score,z_raw
B3,roll_01,mlr,2026-01-11 23:00:00+00:00,2026-01-12 00:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,2521.281662351861,2115.5244077941898,405.7572545576713,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,364.9348326606112,2652.970591418611,410.7482779138611,2501.345489155889,23,0.965925826289068,-0.2588190451025215,0,1,1,0.8401119943055555,-0.4049259464166667,0.8223521403888889,5.024357610277778,19.76163939361111,19.134251795111112,19.75202070783333,19.87883380708333,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,1.2297925467742616,2.511224802019185
B3,roll_01,mlr,2026-01-12 00:00:00+00:00,2026-01-12 01:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,2510.7629793080832,2550.550580406998,-39.78760109891482,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.6410842640833,2501.345489155889,405.205528771,2521.281662351861,0,1.0,0.0,0,0,1,0.0822739048611111,-0.7429944847222223,0.8401119943055555,4.23442964025,19.92784602258333,19.36422701772222,19.76163939361111,20.179024266472226,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,0.2357692278395118,2.4941633275995714
B3,roll_01,mlr,2026-01-12 01:00:00+00:00,2026-01-12 02:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,2517.397726423444,2519.6745680645445,-2.276841641100418,0,night,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.0486825067223,2521.281662351861,475.14375079194434,2510.7629793080832,1,0.9659258262890684,0.2588190451025207,0,0,1,-0.0979647454722222,-0.976354041,0.0822739048611111,3.487890483277777,19.88745926827778,19.40332897797222,19.92784602258333,20.182190243472224,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,0.31945680528235226,2.5049249949792434
B3,roll_01,mlr,2026-01-12 02:00:00+00:00,2026-01-12 03:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,2481.68678522575,2541.203358790922,-59.51657356517171,0,night,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.2023981933612,2510.7629793080832,401.84106967408337,2517.397726423444,2,0.8660254037844387,0.4999999999999999,0,0,1,-0.3757401703055555,-1.0527601663055557,-0.0979647454722222,3.631823816972222,20.026290722638887,19.36519793002778,19.88745926827778,20.26443000358333,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,0.19175332586892177,2.4470012694321386
B3,roll_01,mlr,2026-01-12 03:00:00+00:00,2026-01-12 04:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,3016.15648477425,2495.576588144805,520.5798966294451,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.6384086141388,2517.397726423444,367.7446838216111,2481.68678522575,3,0.7071067811865476,0.7071067811865476,0,0,1,0.1335239932777777,-1.011859787111111,-0.3757401703055555,3.390917739777777,19.80030205080556,19.49764120547222,20.026290722638887,20.13319601611111,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,1.4859651460355463,3.3139197866032917
B3,roll_01,mlr,2026-01-12 04:00:00+00:00,2026-01-12 05:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,4262.747835938639,2833.443555876064,1429.3042800625751,0,night,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.144173213861,2481.68678522575,963.4637856096666,3016.15648477425,4,0.5000000000000001,0.8660254037844386,0,0,1,-0.0287854997222222,-1.39385835525,0.1335239932777777,2.6941748748611114,19.688919204277777,19.31271291408333,19.80030205080556,20.51800392588889,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,3.513355241890156,5.335911167186222
B3,roll_01,mlr,2026-01-12 05:00:00+00:00,2026-01-12 06:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,4361.908397110695,3648.2111045018055,713.6972926088893,0,night,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480.3327933123333,3016.15648477425,1813.34006411675,4262.747835938639,5,0.2588190451025207,0.9659258262890684,0,0,1,-0.5948542869166666,-1.4720435740833333,-0.0287854997222222,1.6470115683055555,19.79284536802778,20.31238466361111,19.688919204277777,20.618104810138888,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,1.9168155810891236,5.496751204939078
B3,roll_01,mlr,2026-01-12 06:00:00+00:00,2026-01-12 07:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,4563.315619382333,3815.973309785242,747.3423095970911,0,night,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264.2411370842497,4262.747835938639,1868.444830851611,4361.908397110695,6,6.123233995736766e-17,1.0,0,0,1,-0.0256551238333333,-1.4967828786944446,-0.5948542869166666,0.7204048023333334,18.87429544488889,20.048696970138888,19.79284536802778,20.52741439736111,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,1.9918785764926799,5.823436984557246
B3,roll_01,mlr,2026-01-12 07:00:00+00:00,2026-01-12 08:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,3089.202245556361,3935.723537785303,-846.521292228942,1,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395.476410544472,4361.908397110695,1998.770939867861,4563.315619382333,7,-0.2588190451025206,0.9659258262890684,0,0,1,0.0892223874722222,-1.379181577972222,-0.0256551238333333,0.4501258596944444,18.15650825783333,20.18417349680556,18.87429544488889,20.162841653277777,0.0,0.0,0.0,0.0,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,1.5640767157788862,3.4324011947661126
B3,roll_01,mlr,2026-01-12 08:00:00+00:00,2026-01-12 09:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-12T00:00:00+00:00,2026-01-19T00:00:00+00:00,2796.8041315197224,2615.6750227850453,181.1291087346772,1,med,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.147877824084,4563.315619382333,1620.6764299421666,3089.202245556361,8,-0.4999999999999998,0.8660254037844387,0,0,1,1.5477482746388889,0.0447507404444444,0.0892223874722222,2.21591780575,18.900201835166666,20.216753709777777,18.15650825783333,20.805254606944445,675.084050221,541.5511257300278,0.0,716.8608431172778,-145.46496760032935,448.2237460324939,973.0697614069028,616.5166494453612,504,504,0.7286407273730878,2.9581267136151337
