datasetid,splitid,modelname,detector,k,slicename,slicevalue,nrows,nalerts,alert_rate
A1,roll_01,mlr,residual,8,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,8,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,9,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,9,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,9,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,9,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,9,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,9,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,9,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,9,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,10,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,10,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,10,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,10,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,10,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,10,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,10,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,10,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,11,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,11,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,11,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,11,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,11,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,11,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,11,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,11,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,12,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,12,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,12,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,12,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,12,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,12,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,12,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,12,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,13,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,13,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,13,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,13,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,13,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,13,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,13,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,13,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,14,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,14,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,14,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,14,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,14,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,14,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,14,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,14,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,15,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,15,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,15,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,15,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,15,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,15,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,15,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,15,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,3,gaplendemandbin,0,167,6,0.03592814371257485
A1,roll_01,persistence,raw,3,gaplenpoolbin,0,167,6,0.03592814371257485
A1,roll_01,persistence,raw,3,gaplenpvbin,0,156,6,0.038461538461538464
A1,roll_01,persistence,raw,3,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,3,gaplentempbin,0,167,6,0.03592814371257485
A1,roll_01,persistence,raw,3,imputed_any,0,156,6,0.038461538461538464
A1,roll_01,persistence,raw,3,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,3,overall,ALL,167,6,0.03592814371257485
A1,roll_01,persistence,raw,4,gaplendemandbin,0,167,3,0.017964071856287425
A1,roll_01,persistence,raw,4,gaplenpoolbin,0,167,3,0.017964071856287425
A1,roll_01,persistence,raw,4,gaplenpvbin,0,156,3,0.019230769230769232
A1,roll_01,persistence,raw,4,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,4,gaplentempbin,0,167,3,0.017964071856287425
A1,roll_01,persistence,raw,4,imputed_any,0,156,3,0.019230769230769232
A1,roll_01,persistence,raw,4,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,4,overall,ALL,167,3,0.017964071856287425
A1,roll_01,persistence,raw,5,gaplendemandbin,0,167,1,0.005988023952095809
A1,roll_01,persistence,raw,5,gaplenpoolbin,0,167,1,0.005988023952095809
A1,roll_01,persistence,raw,5,gaplenpvbin,0,156,1,0.00641025641025641
A1,roll_01,persistence,raw,5,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,5,gaplentempbin,0,167,1,0.005988023952095809
A1,roll_01,persistence,raw,5,imputed_any,0,156,1,0.00641025641025641
A1,roll_01,persistence,raw,5,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,5,overall,ALL,167,1,0.005988023952095809
A1,roll_01,persistence,raw,6,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,6,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,6,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,6,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,6,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,6,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,6,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,6,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,7,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,7,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,7,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,7,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,7,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,7,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,7,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,7,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,8,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,8,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,8,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,8,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,8,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,8,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,8,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,8,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,9,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,9,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,9,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,9,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,9,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,9,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,9,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,9,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,10,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,10,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,10,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,10,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,10,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,10,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,10,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,10,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,11,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,11,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,11,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,11,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,11,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,11,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,11,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,11,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,12,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,12,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,12,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,12,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,12,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,12,imputed_any,0,156,0,0.0
A1,roll_01,persistence,raw,12,imputed_any,1,11,0,0.0
A1,roll_01,persistence,raw,12,overall,ALL,167,0,0.0
A1,roll_01,persistence,raw,13,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,raw,13,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,raw,13,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,raw,13,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,raw,13,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,raw,13,imputed_any,0,156,0,0.0
