iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.40140565236409503,0.0870743126728587,0.23181188106536865,0.08141751681852324,True,10,sqrt,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-564.4512013928718,-558.2747635204158,-395.7766109131378,-374.0807755723045,-256.14299294954145,-283.8526443849209,-405.429831455532,120.2725307329103,725,-298.97650540068435,-314.77983189708164,-331.3877468506648,-316.05458429596865,-308.56475886825916,-294.91075948751245,-310.77903113336185,12.003900003749251
0,200,0.5410969654719034,0.10186036836757308,0.13512078921000162,0.026052271853848927,True,10,sqrt,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-561.258944733172,-560.3629368964021,-396.9199469989904,-374.8790087935055,-255.7619043564434,-272.1651200144914,-403.55797696550076,122.08719512944319,465,-331.6462660573646,-338.0088318755254,-351.5392277933208,-335.2649451270203,-322.20258933773636,-306.9603631085406,-330.93703721658466,13.81343434076558
0,200,0.6399999062220255,0.15811533875729766,0.16441460450490317,0.07962916019364119,True,10,sqrt,1,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-561.1635531825344,-559.6635040309927,-390.08672256325326,-376.6114399373763,-258.0533209835339,-306.56437072289066,-408.69048523676355,115.85720557761749,1350,-373.9088921923117,-373.86661232305227,-379.640999401173,-360.2398907134145,-341.5638155826646,-325.4613092045021,-359.11358656951967,19.577479874782302
0,200,0.46644270420074463,0.04671649991125128,0.13796555995941162,0.034265351284489154,True,10,sqrt,1,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-574.8340077164754,-563.3276291620418,-393.4795702896045,-388.2609413180381,-257.64308948364294,-288.4987350997591,-411.0073288449269,122.06161048186445,1613,-426.5418647134144,-414.2240972959089,-416.7446743039233,-390.1562877556681,-367.6831590742261,-346.6572144814374,-393.6678829374296,28.674422545708275
0,200,0.6234031120936075,0.056279520713962486,0.13243297735850015,0.07298632126878492,True,10,sqrt,1,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 200}",-597.8432746175171,-567.8084203195954,-401.9027697799744,-401.78311242403066,-254.7574271576749,-292.23039841785805,-419.3875671194417,127.64720437104447,2024,-484.6843979900286,-459.8506248644522,-456.15856101716145,-426.7465087378644,-398.7533901466038,-374.8434670395871,-433.50615829928296,37.68539413715684
0,200,0.5066298643747965,0.0672123091743132,0.19865278402964273,0.032473157954577093,True,10,sqrt,1,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 200}",-629.1759244916167,-593.3174693883897,-410.74712009317716,-425.34858036297817,-249.21134287321686,-283.01258162372864,-431.8021698055179,142.01309012695688,2364,-545.3695659001102,-508.4241849368245,-500.4059365153121,-466.60260371090624,-431.86934613952315,-402.8405679764717,-475.9187008631913,48.040265547162704
0,200,0.5745207071304321,0.09194224648694571,0.14144233862559,0.04274992895763944,True,10,sqrt,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-560.6178339438193,-555.3813712801856,-391.80580361583526,-374.8471651195801,-255.05242605807982,-293.71241008466666,-405.23616835036114,117.46177767421315,706,-347.508406544911,-352.05416777843436,-364.7963754154897,-344.5021030907921,-331.3782576581038,-312.2751141825851,-342.0857374450527,16.601758070160813
0,200,0.5101528962453207,0.1332889068991962,0.19689599672953287,0.05952438513671289,True,10,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-561.9511848177117,-553.647899813612,-389.9038193955312,-375.64706017744635,-262.1583491555959,-279.5821251183628,-403.81507307971,118.28237296450982,483,-355.22012569825364,-356.51340375194184,-366.9848576163097,-346.8841367875665,-333.6727493283259,-316.2071017052128,-345.91372914793504,16.714372883565357
0,200,0.4659388065338135,0.12970037612847637,0.12463212013244629,0.025212250753894726,True,10,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-564.246684886848,-558.8261813109865,-393.2201846592606,-373.43775460777096,-253.7303890617174,-268.42375411265334,-401.9808247732062,123.58385392627996,322,-389.6755042395171,-383.6674923622875,-391.1482084726492,-367.69141605561714,-349.21373945843726,-331.56940172862363,-368.82762705285523,22.08783547874938
0,200,0.6256372928619385,0.11535229048776618,0.14943440755208334,0.0473082128298777,True,10,sqrt,2,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",-575.2709098651578,-557.9370711538367,-394.4057389658174,-389.63061433256246,-253.34582836454422,-279.7742777118635,-408.3940733989636,123.3840466144048,1312,-434.23283003569645,-419.7871501635847,-421.04538865310604,-395.44421036329385,-372.8460297540111,-352.3512130201709,-399.2844703316439,28.959036215416216
