mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
7.014938632647197,0.9455575506243405,0.9240207672119141,0.17263483456020773,5,sqrt,8,5,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 5}",-618.6487717518194,-601.4195729351067,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.7801502053598,139
9.164712508519491,0.9136996283322637,1.662472089131673,0.8227801523342381,5,sqrt,8,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 10}",-618.6487717518194,-601.4195729351068,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.78015020535983,139
8.230577150980631,0.9992133078906723,1.4875680208206177,0.25614214992536183,10,0.3,2,2,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2}",-558.6644168937088,-556.0780621141371,-390.1519914654209,-374.8382472106325,-258.1654336376147,-288.44699783105926,-404.39085819209555,117.40974862363181,35
11.649901469548544,1.4229104082233845,2.125265955924988,0.5254973849970628,10,0.3,2,5,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5}",-560.9177123683133,-554.9448773491409,-391.0483049813564,-375.1022594359846,-258.8795430767187,-288.5053159090715,-404.89966885343097,117.47656710526242,41
9.88734245300293,0.5892665344000826,1.4958779414494832,0.43832791200202387,10,0.3,2,10,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 10}",-563.3018714470159,-558.5887092082122,-391.378058765514,-377.9476313026048,-258.2627124898065,-288.3559960726498,-406.30582988096717,118.80922108082395,64
11.645711223284403,0.8348190906058489,1.5516819953918457,0.5705458858248128,10,0.3,4,2,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2}",-568.3933273786408,-558.5945387840717,-389.5425684330025,-382.5159191486267,-256.72746763473236,-289.5020211395275,-407.5459737531003,119.94357210739385,81
10.137760718663534,0.5183219719193869,2.4141798416773477,0.4798465052540542,10,0.3,4,5,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-568.3933273786408,-558.5945387840717,-389.5425684330025,-382.51591914862666,-256.72746763473236,-289.5020211395275,-407.54597375310027,119.94357210739385,79
11.37827718257904,0.5400321325284799,1.0836530923843384,0.22300370245700188,10,0.3,4,10,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-568.466309546111,-559.2301385807364,-390.14627861966164,-384.3889701043632,-256.24299736822366,-296.9610849582318,-409.2392965295546,118.91652589138697,105
10.333153446515402,1.3824137201637954,1.7500638167063396,0.2500806748010016,10,0.3,8,2,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 2}",-585.9867612719842,-567.6711338232709,-391.9109928532261,-396.8802008697481,-253.2122851135228,-290.5795201215967,-414.3734823422248,125.87013304713263,109
9.077079852422079,1.20402728321811,1.2491220633188884,0.29854885122046715,10,0.3,8,5,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 5}",-585.9867612719842,-567.6711338232709,-391.9109928532261,-396.8802008697481,-253.2122851135228,-290.5795201215967,-414.3734823422248,125.87013304713263,109
