iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.6893109083175659,0.11538385604066274,0.2414634625116984,0.09001732070097952,True,10,sqrt,2,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 200}",-634.872849576313,-611.9493800634992,-407.27497081476804,-477.766224596486,-259.74963999098054,-349.1136927346463,-456.78779296278225,134.84482763409116,2376,-463.36793362012355,-445.0549694570719,-444.958619643253,-414.73067897324074,-389.66991567893143,-366.4236457261077,-420.7009605164547,34.02601768716807
0,200,0.6684646606445312,0.1293357216324394,0.23057842254638672,0.11568252317290284,True,10,sqrt,2,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 80, 'n_estimators': 200}",-658.2807250567124,-632.2671668776935,-417.7433633786795,-489.12616755589175,-259.02505203243607,-358.86967714006676,-469.2186920069134,142.4391951597431,2521,-531.2434362221385,-499.28107053306564,-490.6198162818051,-456.19947130786466,-426.46714752474765,-398.8462117887714,-467.1095256097322,44.96593665537475
0,200,0.7389029661814371,0.07952297234159161,0.2137752374013265,0.0809088137319237,True,10,sqrt,4,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-617.4477250758564,-608.8719073493774,-401.46733006291,-457.86847853420926,-260.7074270051553,-368.4469025704179,-452.46829509965437,127.89474030802846,2342,-377.8809394707345,-370.1606906532855,-376.95313180521435,-354.83314573400463,-339.7205468663998,-322.29376989611967,-356.9737040709597,20.474121461260737
0,200,0.5910278956095377,0.12694639462234344,0.3605873187383016,0.10085654603734356,True,10,sqrt,4,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-617.4477250758564,-608.8719073493774,-401.46733006291,-457.8684785342092,-260.7074270051553,-368.446902570418,-452.46829509965437,127.89474030802843,2342,-377.8809394707345,-370.1606906532855,-376.95313180521435,-354.83314573400463,-339.7205468663998,-322.29376989611967,-356.9737040709597,20.474121461260737
0,200,0.7484269142150879,0.17397320221354937,0.2576587200164795,0.12638617317913392,True,10,sqrt,4,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-614.1961249434987,-602.0896732431816,-388.0182743884996,-453.7599449788006,-260.99450524077463,-370.5195110034651,-448.2630056330367,126.47109678593526,2260,-385.78552058981063,-378.68300314535134,-381.1712363641964,-362.25234619622444,-344.94146272178887,-326.56641712210984,-363.2333310232469,21.40513732405437
0,200,0.6393371820449829,0.11393712023959893,0.1951062281926473,0.11587852536086757,True,10,sqrt,4,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 200}",-620.138149882379,-606.6504732520355,-396.46603260418135,-466.8195995848462,-257.34961238283233,-359.7259478420482,-451.19163592472046,130.31385304705438,2325,-421.51903895040186,-410.1878531886015,-412.8313772912421,-386.7566604760782,-365.9157278968306,-347.2687427027092,-390.74656675097725,26.88078190352338
0,200,0.6942654848098755,0.1746585492995334,0.22359907627105713,0.12172451423930984,True,10,sqrt,4,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 40, 'n_estimators': 200}",-634.7318117757729,-610.3649533686987,-404.87266236410096,-480.72043501335696,-259.78663397081476,-363.4448602073256,-458.986892783345,132.9231066379513,2403,-471.65817688500033,-452.0006557262066,-450.9482380385639,-419.1624416818483,-395.606921021406,-369.64898984645316,-426.5042371999131,35.42014507743488
0,200,0.7795463800430298,0.20110667240323774,0.14985891183217367,0.04994115152930951,True,10,sqrt,4,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 80, 'n_estimators': 200}",-660.2222407695984,-635.0253882982946,-415.3025269187489,-486.8412694579113,-256.1450400140847,-362.16964879583986,-469.2843523757463,143.78895253524377,2522,-536.249485498141,-503.03394284860593,-493.68290902368705,-459.117740983222,-429.32589341447556,-401.88527845932634,-470.54920837124297,45.55532882863375
0,200,0.5468413829803467,0.17328828120858814,0.2696909507115682,0.11677005438233255,True,10,sqrt,8,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-618.6820728154602,-610.2420292565911,-395.02594300808863,-472.5394558519396,-256.98852097072324,-314.2673891054673,-444.624235168045,137.33456912104984,2183,-438.68495169716647,-420.55767604904497,-423.88339208646795,-396.38455851255884,-374.2068062377871,-352.161642098537,-400.97983778026037,30.140416403240636
0,200,0.7367366154988607,0.07790384367482651,0.2089071273803711,0.03062967583977053,True,10,sqrt,8,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 200}",-618.6820728154602,-610.2420292565911,-395.02594300808863,-472.5394558519396,-256.98852097072324,-314.2673891054674,-444.624235168045,137.33456912104984,2183,-438.6849516971664,-420.55767604904497,-423.883392086468,-396.38455851255884,-374.2068062377871,-352.161642098537,-400.9798377802604,30.140416403240632
