iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.5205841064453125,0.050257284321283485,0.15660472710927328,0.02462461290179579,True,10,sqrt,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-567.9937406660597,-569.7264188319913,-395.686253392683,-419.676022435408,-257.8548806975941,-346.3085611205128,-426.2076461907082,112.84330556017308,2063,-294.2366537772513,-306.09566944343203,-315.7958163674509,-303.3580253356506,-297.99101281429444,-285.55870496231177,-300.5059804500652,9.506212259173502
0,200,0.6235220432281494,0.10298473725349548,0.14600388209025064,0.020633496586306182,True,10,sqrt,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-570.3208987245097,-576.0145668636351,-396.6234412995191,-425.6846616640238,-260.9014755500759,-345.7998823893744,-429.2241544151896,113.88823785435851,2172,-322.05952519719347,-328.39411296292536,-337.4083306864351,-321.6190550601955,-310.2278429116365,-294.7718214308386,-319.08011470820406,13.584629840529459
0,200,0.624324639638265,0.15888597965020076,0.2001397212346395,0.09793280991453782,True,10,sqrt,1,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-575.7528076476766,-574.226878277254,-391.0014784246699,-422.80362903873515,-258.55047681343905,-359.31728745680897,-430.2754262764306,114.02373692234441,2216,-356.6002833760913,-357.86628746763705,-363.0703839917328,-345.2968466097216,-330.4312167200127,-312.61220254753334,-344.3128701187881,17.72531526923752
0,200,0.5750477313995361,0.029254301511095666,0.14028489589691162,0.023982800128770392,True,10,sqrt,1,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-577.5260653584585,-581.3333704430767,-385.85040257940955,-419.9277324539166,-255.7502230804479,-318.92556091369494,-423.21889247150074,121.88859787712047,1974,-407.52615542343256,-395.14282763077654,-396.0621539186666,-377.0454605114296,-355.61028302342623,-335.9270113743054,-377.8856486470061,25.047223012679368
0,200,0.695520798365275,0.09239650563392869,0.13098637262980142,0.03084772409310051,True,10,sqrt,1,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 200}",-598.0562706554629,-590.2900584018704,-397.1497854095645,-445.72294387086083,-252.05359086102663,-373.70318794707265,-442.8293061909764,121.86664123843715,2459,-457.9483801888753,-441.488963061284,-439.9768643559177,-412.7274466336115,-387.7004771088153,-363.6586713147703,-417.2501337772124,32.97992860798378
0,200,0.5434752305348715,0.14644741702544103,0.1724919080734253,0.052874106756494205,True,10,sqrt,1,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 200}",-621.3450169151513,-602.5399345305926,-410.6185925232456,-461.2744087540083,-250.23393760360707,-369.1383593745101,-452.52504161685243,129.55847045179897,2496,-523.030364376347,-493.19248556041015,-489.09846160807945,-452.1950286742118,-422.20345736087927,-395.30541996144945,-462.50420292356284,43.89105281753024
0,200,0.5646808544794718,0.09200489487382314,0.1362145741780599,0.029533597828851513,True,10,sqrt,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-568.2253671263281,-565.6494953023265,-391.41963539265265,-414.8494718360953,-253.62429554414453,-339.3958344689405,-422.1940166117479,114.14678007124432,1930,-334.4852642635158,-335.7704888836733,-342.4881642748413,-328.44951038418077,-319.6770777860685,-299.46615495846646,-326.72277675845766,14.060652340723667
0,200,0.5937362114588419,0.05449553001912893,0.21266627311706543,0.059859330006822455,True,10,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-563.3760827864756,-572.6969419420191,-387.3793756017972,-416.315430625955,-255.29486658721524,-352.15401251405603,-424.5361183429197,112.95879717399886,2005,-340.52831033502935,-340.87052741663484,-349.0672072792716,-333.6783999764112,-320.0303865440903,-304.2325547477547,-331.4012310498653,15.042586442058095
0,200,0.5642837285995483,0.10015136464242855,0.1740893522898356,0.052879428157523264,True,10,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-567.6251616766436,-573.1284169307838,-387.4965747967935,-421.64714956272667,-254.70677926183419,-343.6073243432379,-424.7019010953366,114.98241072437911,2013,-371.7912542102228,-369.00268399625435,-370.4793702987737,-353.50148356353793,-338.3257734558676,-319.97530332161864,-353.84597814104586,19.22084997669714
0,200,0.6439208189646403,0.06326694902146981,0.17692073186238608,0.05827052658317103,True,10,sqrt,2,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",-573.4578854172618,-576.2017799416868,-389.0552986947617,-424.1420254442248,-251.4155491294588,-341.6160598342032,-425.9814330769328,117.80856184834627,2058,-414.2011065033822,-401.48862518939234,-405.7893355953256,-383.28762352619947,-361.4482429369107,-340.3817673678955,-384.432783519851,26.151002613349544
