mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
11.361430803934732,4.64776343040262,4.5812627871831255,2.362955950841532,5,0.3,4,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-597.1453624195422,-589.0528453333233,-424.3702405610165,-460.8748327978843,-269.1664136194135,-294.3403442238104,-439.1583398258317,127.79414622860445,103
14.303977926572164,3.1935019576948025,3.440054774284363,1.7281852051539035,5,0.3,4,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-597.1384909020397,-589.8467415069965,-424.34937510253894,-461.0084205145796,-268.9228395617434,-293.3016882866926,-439.0945926457651,128.20278075749277,102
13.558889706929525,2.822000647326568,4.5505067110061646,1.2367444824872602,5,0.3,4,20,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 20}",-597.4558894013527,-592.3138448131712,-423.51879883624395,-460.74853674600973,-269.22233952607,-294.44003701220925,-439.61657438917615,128.48205208549834,107
13.612666567166647,4.546813641027012,4.864696979522705,1.6702728910585218,5,0.3,8,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 5}",-596.6500132347284,-590.951970599741,-422.89621533720066,-461.1263276638791,-268.7459076760976,-297.0423255069017,-439.56879333642473,127.68994377252051,105
15.577957312266031,3.110586180774121,3.9196966091791787,1.028990372942987,5,0.3,8,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 10}",-596.6500132347284,-590.951970599741,-422.89621533720066,-461.1263276638792,-268.7459076760976,-297.0423255069017,-439.56879333642473,127.68994377252051,105
13.39303716023763,1.9321456558786525,4.36965274810791,0.5868183607798749,5,0.3,8,20,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 20}",-597.2598642232766,-592.4593291352941,-422.65141347681663,-461.2217577245187,-269.0779860998045,-295.84594876097793,-439.7527165701147,128.27068177681323,109
14.32954736550649,3.630243364400587,4.471628228823344,0.9251638250024333,5,0.3,16,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 5}",-603.0737849261095,-594.0092661645549,-422.91275924604025,-464.84738865925794,-268.3627623332179,-296.03413158683657,-441.5400154860028,129.99523238058688,111
14.91601832707723,2.9397896982744527,4.013848463694255,0.6458847787624734,5,0.3,16,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 10}",-603.0737849261095,-594.0092661645549,-422.91275924604025,-464.84738865925794,-268.3627623332179,-296.03413158683657,-441.5400154860028,129.99523238058688,111
14.782978057861328,4.100809598262191,5.379203677177429,1.5837463516856878,5,0.3,16,20,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 20}",-603.0737849261095,-594.0092661645549,-422.91275924604025,-464.847388659258,-268.3627623332179,-296.03413158683657,-441.5400154860028,129.99523238058688,111
22.677703261375427,8.457099760321153,6.036696990331014,0.8601434465180966,5,0.5,4,5,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5}",-565.6809761970693,-562.3293613631743,-421.10723762896185,-428.4395317154737,-251.90400280958528,-250.89809690855844,-413.39320110380373,127.89505121594952,68
