mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
6.976496736208598,2.007781714054483,3.421333392461141,1.4867331833721553,5,0.3,4,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2}",-588.4695821496139,-589.3186118895472,-425.61989041489807,-449.9160990076695,-272.59796175364437,-314.8458042364385,-440.127991575302,121.33376700017033,128
7.807295282681783,2.156724891597594,2.6660760243733725,1.599931524732279,5,0.3,4,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-588.4695821496138,-589.3186118895471,-425.61989041489807,-449.9160990076695,-272.59796175364437,-314.8458042364385,-440.1279915753019,121.33376700017028,127
9.096273422241211,1.702771028928344,2.0677507321039834,1.58332535359922,5,0.3,4,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-588.6801999711904,-589.5324268078257,-425.8450993185994,-450.0654180569025,-272.5922864070023,-314.9515247057421,-440.2778258778771,121.40114154118343,129
8.376201113065084,1.8221724360758653,2.941900293032328,1.5818441136050323,5,0.3,8,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 2}",-590.7935627767517,-589.757675964632,-425.1794415559968,-453.1809927635287,-272.5658877200484,-313.66430724821345,-440.8569780048619,122.16786972461468,130
8.68793229262034,1.9090963771499694,2.542107860247294,1.6096260341909032,5,0.3,8,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 5}",-590.7935627767517,-589.757675964632,-425.1794415559968,-453.1809927635287,-272.5658877200484,-313.66430724821345,-440.8569780048619,122.16786972461468,130
8.627640008926392,1.391934686161179,3.3100776274998984,1.5907900055376936,5,0.3,8,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 10}",-590.7935627767519,-589.757675964632,-425.1794415559968,-453.1809927635287,-272.5658877200484,-313.66430724821345,-440.8569780048619,122.1678697246147,130
8.045437455177307,2.1419578737502736,3.6391157309214273,1.2638631070694062,5,0.3,16,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 2}",-599.2934261101725,-593.0424840793011,-425.7783631638535,-460.71962682401306,-272.2274155307377,-318.2169812909551,-444.8797161665055,124.00526157606856,133
9.137463688850403,2.3325374168821567,2.7515297730763755,1.794102428624781,5,0.3,16,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 5}",-599.2934261101725,-593.0424840793011,-425.7783631638535,-460.71962682401306,-272.2274155307377,-318.2169812909551,-444.8797161665055,124.00526157606856,133
5.6523332595825195,1.438879017254628,3.530777414639791,0.9644962922401161,5,0.3,16,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 10}",-599.2934261101725,-593.0424840793011,-425.7783631638535,-460.71962682401306,-272.22741553073763,-318.2169812909551,-444.8797161665055,124.00526157606858,133
11.079474846522013,3.425583688793548,4.061001459757487,0.8049991335684956,5,0.5,4,2,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2}",-560.7330973792211,-566.3458462060469,-420.55951646071395,-424.0215850331606,-254.92343136796453,-255.18917022988342,-413.6287744461651,126.10096856293137,73
